75658296	3360529	82093129	217045
90379934	4124382	74609191	77058166
56288747	72653396	3330901	83758383
4410757	19148076	57744568	44699134
73615205	66015996	7956715	27391324
63591041	9158758	31488259	93127566
25649984	59411126	47014861	94448496
9869850	2965366	61067400	1728141
70398371	52349033	81952707	67231489
80885081	96051385	12267568	29803833
91666711	17993733	16442401	54076087
97078217	82139000	90446901	77343891
98806892	844873	21126344	23409264
57923186	87604953	32503872	78552203
97964193	93083831	54577707	51675454
7125356	75854544	16102477	39885276
88872651	61567125	76473636	96648018
39917563	656632	66933269	82984951
5925031	20561372	35381141	80791361
41307886	66887462	10203378	29730452
11109423	95919000	57621628	62692267
83112922	97467560	81805388	53386978
47281907	23895630	71925640	62057301
32571196	79339889	28745810	58180952
99161010	23687338	8783397	86500767
26266353	95238172	70632790	94311452
93170101	38652802	44363609	22761970
67997895	75068235	73605755	19169840
65048343	6488396	50892173	46519880
6311678	44008719	22114916	19474190
302810	89982320	27115028	77402661
65860491	47220903	52527667	27373201
89025020	8252749	2624841	69824252
58502627	45596971	90426007	3982097
91680379	94072422	68878481	19330383
28602523	12823689	48762778	54997766
43925629	81079883	27105246	77348799
27404482	30028207	19192826	94879959
57229038	8523223	29297805	48335504
99453473	90961107	12694041	16633752
59112866	7616028	84235329	25062537
91822850	71075146	59622092	84401265
89705296	60440743	581678	37588908
44636829	7933456	63159212	73683493
98153917	60681735	23469098	98745729
91878632	29491377	81842098	47063175
94956276	6110638	46584379	1834880
97017510	33136486	77964656	99179011
58943528	64974328	54102013	49529802
51858592	87188535	86650739	77530235
8658536	99697928	15151923	61500863
7594977	51793527	47634715	5146162
72860607	12694539	22822830	44056478
26584757	18097784	3651906	1374669
75882903	96720446	11918141	35552674
31485367	86964155	34952341	29081241
27777628	43822080	65903782	3194206
47397005	31237147	88037375	38906120
45258994	92076216	86702188	31639638
37202660	94592667	28361682	92643940
65207290	76206325	51507846	13645404
36984282	56252470	84289426	24599254
9035301	35119453	87363343	9878848
46079558	16341881	72838857	52765317
13358204	6017343	69478430	6448942
79943181	78234624	41654177	59886867
98104114	85814536	54685378	90368029
88415289	27309971	40569038	96689182
30551836	33893112	76145978	50705295
9757587	34535468	54350271	21035649
82572735	38198731	73849554	49159968
65057228	63429248	6614035	52667218
70867250	49966971	94403276	48671771
91546470	77204979	17776494	40980897
40279166	14091867	20042980	71499496
10622523	61560715	12957990	160120
74505894	4125672	40185975	24804457
96410398	46461166	387737	23241114
81460095	84059730	9597415	15993892
45554716	50397155	44202401	72144850
60876070	31174387	91259202	35782865
46499345	17737671	18993797	32286974
9963712	8123325	98971975	85668887
15750944	23195610	32707987	14628832
49926065	21235440	71018447	46282674
98474850	60706237	1287861	49446126
28033696	74658150	39023528	98051441
91368926	37336222	57378495	45382288
43657868	31887256	4732400	39351205
13763786	96674549	16528020	20164074
91360792	6063619	20164248	21859662
54309513	33256472	89859534	95674171
7942759	11535440	49532588	18279354
95445462	8696078	99539230	58713850
69494486	46322353	70403649	78220445
88943725	89230309	51075742	16497182
74897916	4499	46036715	82404415
13883502	22760987	48925889	50061561
73150123	17900841	76807031	38702783
69030042	60699849	92075602	84622461
36009922	66769155	93139936	70067794
43599659	65425990	32090805	73143990
52893616	25384359	7580543	17849371
85962172	44249449	6313702	2912783
4298511	42869785	42548111	85841367
15203523	58757759	90463932	56502114
19619033	97922158	1268189	9273875
55304481	59894869	93457257	36754690
38460797	25837325	57300306	41179126
44698908	63633267	3487023	6303324
26200118	4499479	1273899	14284604
61938426	98537953	47351940	47735133
80332182	72870350	31970826	79198368
83259500	80006740	85967638	54503482
69122697	67106737	62849380	19769459
87813168	30869142	43871212	56835391
2257373	87405951	99162686	60241337
18712455	20100534	32074630	25915000
94546808	26979775	29128324	67315116
36161248	75922953	61624178	42764513
70437107	17353418	30488412	88576709
67136928	55377057	8368879	69739549
11319399	57529444	60926417	26491413
38823207	60674376	84319433	36818288
82468766	74025611	37910351	69174442
69187305	72384236	81970992	77052766
19445498	97961220	53748330	12155245
36270426	52881164	79802385	61332285
19221191	13982832	323680	31633358
99812127	59028661	18480589	78489345
87224152	26317178	94411889	9087671
78533397	34268271	39947236	26064300
92877027	58984156	18135712	82854340
74299884	24949865	7146356	36541041
62222174	30856672	22169903	30308169
2940490	7313015	62732982	68975991
80933439	60939599	99384912	2289903
81540481	72675828	1382907	45157905
32620339	32126227	19664107	11385277
23823877	25464059	60541028	53106155
50224683	60212255	96973902	98996419
47879496	16652690	41218482	44090844
50572344	75799806	4063749	38686459
1442328	23510419	59327779	80924260
25326349	5647973	92797661	48979946
73473929	12652886	85740348	33725244
32352847	7901782	93227264	23061616
17668333	30422423	58793882	30015922
65270231	37825764	75883931	79809478
57778554	66268975	18527837	49547759
8841321	23950228	39232500	9531946
43489670	41580319	82210416	56073663
78474190	97310139	41290011	65767044
35486870	55824987	90008354	87596427
36227752	38894131	50626031	20208431
44707937	28047850	95374796	57159498
50721150	16143227	92383089	36905495
21225140	14970657	27920770	51572089
47651211	66680202	15099656	53942453
77900183	65816154	82842450	29503711
39189574	92019612	58244352	33890608
21603988	64480810	28030570	65543174
68002037	92130317	24666568	11686118
90824543	98932211	60472457	87229234
37750632	24906763	55089253	66066645
17441864	18939330	12888588	90119862
54450499	3745585	93963791	7038905
76587018	31274812	41915517	8986707
23053783	44521817	53390616	11887241
23225078	5285023	97440350	4122385
54895766	40061860	97920915	94174457
65369865	78763590	9696379	23939339
97624194	69936686	55954292	26647043
11623317	36974656	70470088	61776388
53046255	62824011	34545088	10801218
38389518	37561749	8643483	41383536
72546570	27573860	49622586	73452929
67857849	83478743	7623190	89888263
23709137	40569525	71437688	77019213
69154181	47193723	8486862	89101440
36625008	51023140	30386632	46079528
3559523	92139290	19601756	73139799
11019863	60684249	23977220	85997741
73948883	2126597	45058887	59365124
21049936	25470821	5108051	95046542
97569411	70229808	15354335	95153809
94824478	16572116	95002692	68339876
50842597	15840239	53606045	25899292
56488523	27414708	51289165	10749935
71261746	94288198	38525008	25239375
28614031	57266646	12960523	91699717
14980695	345257	1080825	82550368
42092294	12227086	70045520	99054552
79351324	43195427	24949664	79839984
2721057	83957799	29669083	81223812
88577016	52836583	35189720	36746884
2142204	70376062	61914211	46115264
74647247	94186302	3196217	53431285
79496709	64678359	16636476	53502443
79476901	87044209	73047549	55808766
22805912	30524566	13344413	11843215
13744196	11008395	24550890	21090736
41257522	76834324	9525088	40706777
28861292	55296121	33011012	12506270
92417431	4389345	39095031	17002993
